FileID,Filename,N Rb,Nerr Rb,Nth Rb,Nbec Rb,OD Rb,ODerr Rb,sx Rb,sxerr Rb,sy Rb,syerr Rb,rx Rb,rxerr Rb,ry Rb,ryerr Rb,mx Rb,mxerr Rb,my Rb,myerr Rb,T Rb,Terr Rb,sigma Rb,params Rb,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},user2,user3,Omit,IterationNum,IterationCount,freq1,freq2,freq3,exp,ImgFreq,WaitTime,Remark,masked
0,,155.766301741,2.89600524278,,,0.684711540194,0.00716633,91.5843426794,0.993032782674,114.898822116,1.25104660749,,,,,770.641820238,0.370878,807.49112933,0.465978,0.0,,0.18186494525,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,16.0,19.0,104.0,104.0,104.0,1.0,110.0,80.0,,False
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,19.0,104.0,104.0,104.0,1.0,110.0,20.0,,False
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0,104.0,104.0,104.0,1.0,110.0,7.0,,False
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.0,104.0,104.0,104.0,1.0,110.0,5.0,,False
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,104.0,104.0,104.0,1.0,110.0,10.0,,False
5,,138.603513331,0.398749319717,,,0.562650313553,0.000839452,95.2104486306,0.166087495387,119.680118398,0.207555286735,,,,,769.466465823,0.0548799,807.793800208,0.0691387,0.0,,0.0221293497976,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,0.0,19.0,104.0,104.0,104.0,1.0,110.0,1.0,,False
6,,140.889211383,0.37780172708,,,0.573248949673,0.000797914,95.5737312251,0.155290862247,118.950665792,0.192289490104,,,,,769.253023603,0.0513893,806.558042675,0.0641094,0.0,,0.0210070658452,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,18.0,19.0,104.0,104.0,104.0,1.0,110.0,100.0,,False
7,,133.675650606,0.376322576263,,,0.544759869273,0.000795512,95.6620997488,0.163271822333,118.652867484,0.201354205012,,,,,770.235329283,0.0539818,807.848588409,0.0670907,0.0,,0.0209354073286,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,17.0,19.0,104.0,104.0,104.0,1.0,110.0,90.0,,False
8,,143.989825295,0.322081183945,,,0.583115973881,0.000676558,95.2971666407,0.1292122183,119.858220529,0.16164515689,,,,,769.612361333,0.0427028,806.34726927,0.0538504,0.0,,0.0178500340645,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,3.0,19.0,104.0,104.0,104.0,1.0,110.0,4.0,,False
9,,132.120066853,0.356148418837,,,0.536227705167,0.000750224,94.793187964,0.154859672785,120.230140548,0.195359323025,,,,,769.016627895,0.0512184,806.473274653,0.0651375,0.0,,0.0197708539454,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,5.0,19.0,104.0,104.0,104.0,1.0,110.0,6.0,,False
10,,137.763101657,0.324266156718,,,0.566647910976,0.000693426,95.4932562071,0.136111441925,117.76544177,0.167011309415,,,,,769.932094684,0.0451526,806.353344087,0.0558041,0.0,,0.018162349734,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,7.0,19.0,104.0,104.0,104.0,1.0,110.0,8.0,,False
11,,129.44471762,0.454835387452,,,0.530645204432,0.000968761,96.0526329951,0.204383267015,117.474001535,0.248807151765,,,,,768.31520809,0.0677701,807.58162622,0.083031,0.0,,0.0254209651792,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,15.0,19.0,104.0,104.0,104.0,1.0,110.0,70.0,,False
12,,145.215237275,0.344907538327,,,0.583468618004,0.000717707,96.1654753131,0.138521520272,119.714416179,0.171545223892,,,,,769.460615157,0.0456873,806.70663468,0.0570164,0.0,,0.0190108067711,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,1.0,19.0,104.0,104.0,104.0,1.0,110.0,2.0,,False
13,,144.356724264,0.430792592151,,,0.589263713582,0.000912427,95.841663651,0.17336238429,118.234419759,0.21269303754,,,,,770.019244335,0.057351,807.869060651,0.0708866,0.0,,0.0239940066282,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,13.0,19.0,104.0,104.0,104.0,1.0,110.0,50.0,,False
14,,138.184677838,0.408929545231,,,0.560717272235,0.000860572,95.6919599855,0.171672476828,119.127342642,0.212549426258,,,,,770.102766068,0.0567352,806.814059153,0.070796,0.0,,0.0226887028549,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,12.0,19.0,104.0,104.0,104.0,1.0,110.0,40.0,,False
15,,132.658337446,0.359481396023,,,0.535610675161,0.000752182,95.8266486234,0.157462245226,119.555614001,0.195387829989,,,,,769.827849992,0.0519812,806.824930583,0.0650111,0.0,,0.0198780726228,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,14.0,19.0,104.0,104.0,104.0,1.0,110.0,60.0,,False
16,,147.992640908,0.299066576762,,,0.599618400173,0.000628088,96.7571202406,0.118525816575,117.992168484,0.143830399364,,,,,769.586578415,0.0391634,807.391256161,0.0478508,0.0,,0.0165758699164,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,11.0,19.0,104.0,104.0,104.0,1.0,110.0,30.0,,False
17,,141.384473355,0.305474286981,,,0.568210398231,0.000635468,95.7575187623,0.125548275635,120.196163334,0.156643607095,,,,,770.897709384,0.0413636,807.085187111,0.0520526,0.0,,0.0168319028479,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,2.0,19.0,104.0,104.0,104.0,1.0,110.0,3.0,,False
18,,143.23894576,0.257334536525,,,0.573231733066,0.000533155,96.1808706284,0.104796205088,120.174724675,0.130284208953,,,,,769.664986673,0.0345414,805.905990599,0.04328,0.0,,0.0141464293119,"Gauss2d, vertical, t_exp = 0.0ms, OD_max = 0.0",,,,,,,,,2.0,19.0,104.0,104.0,104.0,1.0,110.0,3.0,,False
